AREA_NAME,coverage_pct,dist_to_downtown_km,bus_stops,total_daily_trips,avg_trips_per_stop,area_km2,stop_density,gap_quadrant
South Eglinton-Davisville,100.0,6.03,23,2737,119.0,0.944,24.36,"Bus gap only
(bike-rich)"
North Toronto,100.0,6.97,11,1273,115.72727272727273,0.402,27.36,"Bus gap only
(bike-rich)"
Dovercourt Village,99.9,4.19,46,4708,102.34782608695652,1.503,30.61,"Bus gap only
(bike-rich)"
Junction-Wallace Emerson,99.5,5.35,56,6242,111.46428571428571,2.223,25.19,"Bus gap only
(bike-rich)"
Yonge-Bay Corridor,100.0,0.54,55,7092,128.94545454545454,1.119,49.15,Well served
Bay-Cloverhill,100.0,1.92,28,1875,66.96428571428571,0.691,40.52,"Bus gap only
(bike-rich)"
Bendale-Glen Andrew,0.0,16.47,81,12697,156.7530864197531,4.913,16.49,"Bike gap only
(bus-rich)"
Downsview,30.9,12.46,86,15156,176.2325581395349,8.283,10.38,"Bike gap only
(bus-rich)"
Oakdale-Beverley Heights,8.2,13.48,82,13715,167.2560975609756,6.685,12.27,"Bike gap only
(bus-rich)"
Avondale,0.0,12.62,6,427,71.16666666666667,1.032,5.81,"Dual gap
(bike-poor + bus-poor)"
East Willowdale,1.2,13.99,37,3092,83.56756756756756,3.514,10.53,"Dual gap
(bike-poor + bus-poor)"
Yonge-Doris,16.7,13.91,10,695,69.5,0.472,21.19,"Dual gap
(bike-poor + bus-poor)"
Fenside-Parkwoods,0.0,13.29,47,5739,122.1063829787234,3.316,14.17,"Dual gap
(bike-poor + bus-poor)"
Parkwoods-O'Connor Hills,0.0,12.1,42,3965,94.4047619047619,4.147,10.13,"Dual gap
(bike-poor + bus-poor)"
East L'Amoreaux,0.0,17.89,52,6200,119.23076923076923,3.694,14.08,"Dual gap
(bike-poor + bus-poor)"
L'Amoreaux West,0.0,16.73,53,5258,99.20754716981132,3.461,15.31,"Dual gap
(bike-poor + bus-poor)"
Malvern East,0.0,21.78,103,9600,93.20388349514563,4.832,21.32,"Dual gap
(bike-poor + bus-poor)"
